,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
1289,0xdb99fc1d8bfd4cd0080d630a2c29761d015114c0,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1290,0xb80ad6c00bd663c2b7893cd6ede3f3c5c055e014,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1297,0x580c8520deda0a441522aeae0f9f7a5f29629afa,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1305,0x82fdd400d38e43a063d9a4bbe83992e89636157e,Forward proxy,No assignments to local1 outside the fallback function,0,1
1323,0x2ae21632cbcc5a2835238258b8bfb627bed139fd,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1325,0xf4f5da5d5141f73998bb9c2ef548bf47104e9d8f,Forward proxy,No assignments to local4 outside the fallback function,0,1
1343,0x5f705b4f5bcbd3a3536b20420cc581cbbe280bff,Unknown,Failed to decompile bytecode,0,1
1344,0x3479b0acf875405d7853f44142fe06470a40f6cc,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1358,0xb08fe5debb2838d9f4a91132c3a87678007da9a3,Forward proxy,No assignments to local1 outside the fallback function,0,1
1365,0x6854ad6c9e6df6dfc31d16ef6df72b8404fab227,Forward proxy,No assignments to local1 outside the fallback function,0,1
1378,0x95a4492f028aa1fd432ea71146b433e7b4446611,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1407,0x8a3ca1d2d9a05683eb4db447d0e3122fec09d9ee,Not a proxy,No delegatecall found,0,1
1417,0xd8c733ac0b2db47bba7af7716eb696e62c417d5b,Not a proxy,No delegatecall found,0,1
1441,0x5b698af82746f75e9ebc2a9b48a83274768d28f2,Not a proxy,No delegatecall found,0,1
1453,0x3929122b2799b9f76ab908dc0b3c2b9fdafc30e1,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1458,0x0f5bdfd0958345c2e7adb1741024aed6dd159e6c,Not a proxy,No delegatecall found,0,1
1467,0xe0f8e44d86c43f2c60ea6262cd4e722b02374b03,Forward proxy,No assignments to var_1 outside the fallback function,0,1
